,AQI_04,AQI_06,AQI_08,AQI_10,AQI_12,AQI_14,AQI_16,latitude,longitude,population
New York,65,67,67,58,58,56,53,40.73061,-73.935242,8491079
Los Angeles,90.5,84,85.5,77,84,80,59,34.052235,-118.243683,3928864
Chicago,76.5,71,76,71,64,62,54,41.881832,-87.623177,2722389
Houston,67.5,69,63,58,55,54,53,29.760427,-95.369803,2239558
Philladelphia,68,69,63,59,60,59,52,39.952583,-75.165222,1560297
Phoenix,68.5,140,107,74,84,83,74,33.448376,-112.074036,1537058
Jacksonville,57,55,48,48,40,44,43,30.332184,-81.655651,853382
San Francisco,48,49,52,48,46,48,46,37.774929,-122.419416,852469
Indianapolis,67,66,60.5,64,62,59,49,39.768403,-86.158068,848788
Columbus,58,45,44,51,49,47,43,39.961176,-82.998794,835957
Charlotte,60,65,58,56,49,48,46,35.227087,-80.843127,809958
Seattle,54,48,45,41,44,45,42,47.606209,-122.332071,668342
Denver,56,61,61,61,62.5,63,61,39.739236,-104.990251,663862
Memphis,60,63,55,55,49,45,44,35.149534,-90.04898,656860
Las Vegas,60,63,55,55,49,45,58,36.169941,-115.13983,613599
