,AQI_92,AQI_96,AQI_00,AQI_04,AQI_08,AQI_12,AQI_16,latitude,longitude,population
New York,78,71,72,65,67,58,53,40.73061,-73.935242,8491079
Los Angeles,122,97,100,90.5,85.5,84,59,34.052235,-118.243683,3928864
Chicago,97,72,87,76.5,76,64,54,41.881832,-87.623177,2722389
Houston,81,86,70,67.5,63,55,53,29.760427,-95.369803,2239558
Philladelphia,81,94,73,68,63,60,52,39.952583,-75.165222,1560297
Phoenix,77,80,97,68.5,107,84,74,33.448376,-112.074036,1537058
Jacksonville,49,50,62,57,48,40,43,30.332184,-81.655651,853382
San Francisco,47,44,47,48,52,46,46,37.774929,-122.419416,852469
Indianapolis,74,56.5,80,67,60.5,62,49,39.768403,-86.158068,848788
Columbus,47.5,40,63,58,44,49,43,39.961176,-82.998794,835957
Charlotte,47.5,47,67,60,58,49,46,35.227087,-80.843127,809958
Seattle,55,44,55,54,45,44,42,47.606209,-122.332071,668342
Denver,72,68,61,56,61,62.5,61,39.739236,-104.990251,663862
Memphis,67,49,68,60,55,49,44,35.149534,-90.04898,656860
Las Vegas,61,69,67,60,55,49,58,36.169941,-115.13983,613599
