Facility,GHG,Lat,Long
Scherer Power Plant,20.5,33.062593,-83.803883
Alabama Power Company ,19.9,33.631013,-87.057016
Navajo Power Plant,17.2,36.903548,-111.390782
Gibson Power Plant,16.3,38.372031,-87.767415
W.A. Parish Power Plant,16.1,29.484399,-95.62942
Rockport Power Plant,15.8,37.92739,-87.038363
Bowen Power Plant,15.6,34.113739,-84.925529
Bruce Mansfield Power Plant,15.6,40.630728,-80.42155
Gavin Power Plant,15.6,38.94229,-82.112083
Calaveras Power Station Power Plants,15.4,29.289989,-98.353913
